ID,number,author1,year,journal,study,country,continent,longitude,latitude,AI,BD (g/cm3),CN,pH,depth,duration,cropland.type,primary.crop,CC.type,biomass N (kg/ha),rrnirK,varnirK,rrnirS,varnirS,rrnosZ,varnosZ,rrnirKS.nosZ,varnirKS.nosZ,rrpH,varpH,rrN2O,varN2O,rryield,varyield,rryield.scaled.N2O,varyield.scaled.N2O
1,1,Zhou,2023,Agronomy,1,China,Asia,118.4833333,30.91666667,1.019326091,1.345538259,9.768786127,5.91,0-20,3,paddy,rice,legume,17.7,-0.008608375,0.008504425,0,0.011479141,-0.641794008,0.02047203,0.641052076,0.031658291,0.018077731,0.000230252,-0.021819047,0.005185322,0.014631662,0.000804855,-0.036450709,0.005990177
2,1,Zhou,2023,Agronomy,1,China,Asia,118.4833333,30.91666667,1.019326091,1.345538259,9.768786127,5.91,0-20,3,paddy,rice,legume,35.5,-0.017291497,0.007382154,-0.080268263,0.01696313,0.98008047,0.026498206,-1.054740082,0.042327586,0.022951827,0.000347532,-0.252342706,0.002879036,0.238891908,0.000759734,-0.491234614,0.00363877
3,1,Zhou,2023,Agronomy,1,China,Asia,118.4833333,30.91666667,1.019326091,1.345538259,9.768786127,5.91,0-20,3,paddy,rice,legume,53.2,0.012775191,0.005682257,-0.089104845,0.006366929,1.278935843,0.017412686,-1.358803453,0.023696009,0.045388666,0.000144806,-0.46283514,0.022944264,0.247780856,0.00193305,-0.710615996,0.024877314
4,1,Zhou,2023,Agronomy,1,China,Asia,118.4833333,30.91666667,1.019326091,1.345538259,9.768786127,5.91,0-20,3,paddy,rice,legume,70.9,-0.057326495,0.009778057,-0.03722001,0.004282115,1.508723937,0.020375644,-1.547667803,0.025001412,0.065781529,0.000252908,-0.799307376,0.004543141,0.211740919,0.001016687,-1.011048295,0.005559828
5,2,Hu,2021,mSphere,2,USA,North America,-88.8232,35.6129,0.939496279,1.524314523,6.741373539,5.462761402,0-7.5,36,upland,cotton,legume,,0.184206807,5.86E-15,0.368413615,5.08E-15,0.345387764,3.97E-15,-0.062729841,9.38E-15,-0.028549378,0.0000749,0.789997007,0.007635218,,,,
6,2,Hu,2021,mSphere,2,USA,North America,-88.8232,35.6129,0.939496279,1.524314523,6.741373539,5.462761402,0-7.5,36,upland,cotton,non-legume,,-0.092103404,7.62E-15,-0.138155105,7.60E-15,-0.161180957,6.16E-15,0.045786631,1.38E-14,0.042145621,0.0000749,-0.206336433,0.007635218,,,,
7,2,Hu,2021,mSphere,2,USA,North America,-88.8232,35.6129,0.939496279,1.524314523,6.741373539,5.462761402,0-7.5,36,upland,cotton,legume,,0,8.69E-15,0,6.02E-15,0.207232658,3.65E-15,-0.207232658,1.08E-14,-0.009884759,0.0000749,0.66057101,0.007635218,,,,
8,2,Hu,2021,mSphere,2,USA,North America,-88.8232,35.6129,0.939496279,1.524314523,6.741373539,5.462761402,0-7.5,36,upland,cotton,non-legume,,0.138155105,7.97E-15,0.299336063,4.51E-15,0.092103404,4.18E-15,0.139965136,9.99E-15,-0.026579638,0.0000749,0.074107972,0.007635218,,,,
9,3,Nie,2021,Journal of Soil Science and Plant Nutrition,3,China,Asia,112.9166667,29.86666667,0.990924776,1.357781291,15.81993569,7.1,5月20日,8,paddy,rice,legume,,,,,,-0.651377768,0.110318262,,,,,,,,,,
10,3,Nie,2021,Journal of Soil Science and Plant Nutrition,3,China,Asia,112.9166667,29.86666667,0.990924776,1.357781291,15.81993569,7.1,5月20日,8,paddy,rice,legume,,,,,,-0.810239847,0.0374306,,,,,,,,,,
11,3,Nie,2021,Journal of Soil Science and Plant Nutrition,3,China,Asia,112.9166667,29.86666667,0.990924776,1.357781291,15.81993569,7.1,5月20日,8,paddy,rice,legume,,,,,,-0.248279525,0.088743312,,,,,,,,,,
12,3,Nie,2021,Journal of Soil Science and Plant Nutrition,3,China,Asia,112.9166667,29.86666667,0.990924776,1.357781291,15.81993569,7.1,5月20日,8,paddy,rice,legume,,,,,,0.484323683,0.014901684,,,,,,,,,,
13,4,Hu,2023,Plants,4,China,Asia,117.0166667,39.35,0.37307027,1.32,9.666666667,8.125,0-20,12,upland,maize,non-legume,166.53,-0.602470214,0.021491471,-0.703540741,0.022155909,0.013730193,0.044732344,-0.651875295,0.066067845,-0.006629859,0.000150402,,,,,,
14,4,Hu,2023,Plants,4,China,Asia,117.0166667,39.35,0.37307027,1.32,9.666666667,8.125,0-20,12,upland,maize,legume,232.86,-0.831046452,0.044079141,-0.730773892,0.019142624,0.19605175,0.002850648,-0.98936742,0.036108034,-0.001101928,0.0000619,,,,,,
15,4,Hu,2023,Plants,4,China,Asia,117.0166667,39.35,0.37307027,1.32,9.666666667,8.125,0-20,12,upland,maize,non-legume,112.28,-0.70165787,0.017267322,-0.275448007,0.007182935,0.169178731,0.032753747,-0.693740338,0.045103194,-0.030186753,0.0000651,,,,,,
16,4,Hu,2023,Plants,4,China,Asia,117.0166667,39.35,0.37307027,1.365,10.125,7.65,20-40,12,upland,maize,non-legume,166.53,-0.398958904,0.013927346,0.061452779,0.038634797,0.042925045,0.03463129,-0.354382383,0.052708153,0.003287674,0.0000724,,,,,,
17,4,Hu,2023,Plants,4,China,Asia,117.0166667,39.35,0.37307027,1.365,10.125,7.65,20-40,12,upland,maize,legume,232.86,-0.184412514,0.007456863,0.60869335,0.017774584,0.53680111,0.000860377,-0.54787542,0.010202794,0.008743225,0.0000361,,,,,,
18,4,Hu,2023,Plants,4,China,Asia,117.0166667,39.35,0.37307027,1.365,10.125,7.65,20-40,12,upland,maize,non-legume,112.28,-0.193876307,0.051076319,0.783965855,0.016704225,-0.207909307,0.01380233,0.244670203,0.048544552,0.002192983,0.0000521,,,,,,
19,4,Hu,2023,Plants,4,China,Asia,117.0166667,39.35,0.37307027,1.375,9.6,8.35,40-80,12,upland,maize,non-legume,166.53,0.337381741,0.026994753,0.523041212,0.053814185,1.457753325,0.111229855,-1.076113795,0.142881934,0.001105583,0.0000248,,,,,,
20,4,Hu,2023,Plants,4,China,Asia,117.0166667,39.35,0.37307027,1.375,9.6,8.35,40-80,12,upland,maize,legume,232.86,0.07365291,0.035161019,0.440235308,0.037181911,0.456017387,0.038746371,-0.288677384,0.073394678,-0.006659292,0.0000515,,,,,,
21,4,Hu,2023,Plants,4,China,Asia,117.0166667,39.35,0.37307027,1.375,9.6,8.35,40-80,12,upland,maize,non-legume,112.28,0.211612354,0.025323239,0.894833105,0.058820772,1.367602228,0.039318946,-0.959249925,0.07085012,0.005515734,0.0000247,,,,,,
22,4,Hu,2023,Plants,4,China,Asia,117.0166667,39.35,0.37307027,1.37,21,8.2,80-120,12,upland,maize,non-legume,166.53,-0.440444827,0.109296314,0.496037924,0.054252603,-0.557437929,0.055229252,0.449224344,0.148869351,0.025401697,0.0000844,,,,,,
23,4,Hu,2023,Plants,4,China,Asia,117.0166667,39.35,0.37307027,1.37,21,8.2,80-120,12,upland,maize,legume,232.86,-0.863046217,0.114569205,-0.046956983,0.053796158,-0.047628049,0.072111274,-0.537365318,0.168480235,0.007799482,0.0000104,,,,,,
24,4,Hu,2023,Plants,4,China,Asia,117.0166667,39.35,0.37307027,1.37,21,8.2,80-120,12,upland,maize,non-legume,112.28,-0.564314309,0.167542481,0.243126051,0.113364316,-0.368370984,0.107970148,0.078355188,0.260196832,-0.006734032,0.0000172,,,,,,
25,4,Hu,2023,Plants,4,China,Asia,117.0166667,39.35,0.37307027,1.495,21,8,120-160,12,upland,maize,non-legume,166.53,-0.735593871,0.073245836,-0.074847891,0.046352495,-1.299837154,0.134846681,0.884439157,0.194284152,-0.001120448,0.0000489,,,,,,
26,4,Hu,2023,Plants,4,China,Asia,117.0166667,39.35,0.37307027,1.495,21,8,120-160,12,upland,maize,legume,232.86,-0.177140198,0.059530568,-0.393042588,0.062947989,0.404541321,0.167181391,-0.663191561,0.22565493,0.006696454,0.0000487,,,,,,
27,4,Hu,2023,Plants,4,China,Asia,117.0166667,39.35,0.37307027,1.495,21,8,120-160,12,upland,maize,non-legume,112.28,-0.300754154,0.099724281,-0.190043603,0.0523552,-0.320533455,0.114595427,0.065891237,0.191754833,0.007808182,0.0000376,,,,,,
28,4,Hu,2023,Plants,4,China,Asia,117.0166667,39.35,0.37307027,1.62,21,7.8,160-200,12,upland,maize,non-legume,166.53,-0.759039274,0.020483271,0.137522029,0.032556491,-0.258482918,0.021986444,-0.097035681,0.048749498,0.012311291,0.000031,,,,,,
29,4,Hu,2023,Plants,4,China,Asia,117.0166667,39.35,0.37307027,1.62,21,7.8,160-200,12,upland,maize,legume,232.86,-0.712167505,0.02472562,0.460922184,0.059817949,-0.380772496,0.024974167,0.236498245,0.069746332,0.011198325,0.0000356,,,,,,
30,4,Hu,2023,Plants,4,China,Asia,117.0166667,39.35,0.37307027,1.62,21,7.8,160-200,12,upland,maize,non-legume,112.28,-0.667394684,0.023783174,0.237778632,0.0574326,-0.317759528,0.023343633,0.058724636,0.063232176,0.014533515,0.0000355,,,,,,
31,5,Tang,2023,Environmental Science and Pollution Research,5,China,Asia,116.9583,28.1875,1.34150207,1.343546629,13.88111049,5.897208214,0-20,2,paddy,rice,legume,77.5,0.118085745,0.052166882,0.15150867,0.010721652,0.089669186,0.009363525,0.061368762,0.020290581,0.012000144,0.0000999,0.547837089,0.111095881,0.063330511,0.014076606,0.484506578,0.125172487
32,5,Tang,2023,Environmental Science and Pollution Research,5,China,Asia,116.9583,28.1875,1.34150207,1.343546629,13.88111049,5.897208214,0-20,2,paddy,rice,legume,81.67,0.21273535,0.013992049,0.333452227,0.014570949,-0.242796489,0.011390613,0.574619317,0.025899596,0.017946643,0.0000999,0.063513406,0.206579338,-0.00596127,0.014076606,0.069474676,0.220655944
33,5,Tang,2023,Environmental Science and Pollution Research,5,China,Asia,116.9583,28.1875,1.34150207,1.343546629,13.88111049,5.897208214,0-20,2,paddy,rice,legume,90,0.149077498,0.000716465,0.213066563,0.007894084,0.180323554,0.033870206,0.031855173,0.041608906,-0.002014099,0.0000999,0,0.074442356,0.039335005,0.014076606,-0.039335005,0.088518962
34,6,Yu,2024,Journal of Soil Science and Plant Nutrition,6,China,Asia,120.53,36.86,0.527757049,1.388153791,6.825017929,5.38,0-20,4,upland,peanut,non-legume,,0.242313472,0.006482025,,,,,,,-0.023037668,0.0000363,,,1.663505134,0.129306533,,
35,7,Li,2022,Plant and Soil,7,China,Asia,112.39,29.37,1.039715648,1.039715648,8.684310564,7.92,0-20,6,paddy,rice,legume,67.5,0.099047726,0.000349501,,,0.109999698,0.00000259,,,0.004056801,0.000119329,,,0.075090451,0.054270509,,
36,7,Li,2022,Plant and Soil,8,China,Asia,115.07,28.19,1.206543803,1.206543803,7.628625854,4.65,0-20,6,paddy,rice,legume,67.5,0.600253434,0.006009041,,,0.810003539,0.000150818,,,-0.067485919,0.001040687,,,0.391554996,0.033769106,,
37,7,Li,2022,Plant and Soil,9,China,Asia,114.08,32.12,0.86506629,0.86506629,8.008382606,6.8,0-20,6,paddy,rice,legume,67.5,0.330000464,0.00000458,,,-0.279999642,0.000000705,,,-0.189174251,0.000738603,,,0.217034797,0.034475036,,
38,7,Li,2022,Plant and Soil,10,China,Asia,119.03,26.08,1.197019577,1.197019577,10.65776319,4.93,0-20,6,paddy,rice,legume,67.5,0.620000431,0.00000665,,,0.139999622,0.00000244,,,-0.014127379,0.002270945,,,0.088917047,0.009516823,,
39,7,Li,2022,Plant and Soil,7,China,Asia,112.39,29.37,1.039715648,1.039715648,8.684310564,7.92,0-20,6,paddy,rice,legume,67.5,0.499996764,0.000218915,,,-0.599999821,0.00000393,,,0.001313198,0.0000224,,,0.110348057,0.036757073,,
40,7,Li,2022,Plant and Soil,8,China,Asia,115.07,28.19,1.206543803,1.206543803,7.628625854,4.65,0-20,6,paddy,rice,legume,67.5,0.429591731,0.001129672,,,-1.079704308,0.000340223,,,0.004115232,0.000576915,,,0.10724553,0.022906274,,
41,7,Li,2022,Plant and Soil,9,China,Asia,114.08,32.12,0.86506629,0.86506629,8.008382606,6.8,0-20,6,paddy,rice,legume,67.5,-0.169999389,0.00000221,,,0.140000208,0.000000446,,,-0.17225817,0.000186695,,,-0.009321663,0.015378955,,
42,7,Li,2022,Plant and Soil,10,China,Asia,119.03,26.08,1.197019577,1.197019577,10.65776319,4.93,0-20,6,paddy,rice,legume,67.5,-0.21999992,0.00000425,,,-0.25000022,0.00000374,,,0.00401607,0.001055476,,,0.04640928,0.020573595,,
43,8,Kim,2022,Frontiers in Microbiology,11,USA,North America,-90.72722222,40.93055556,0.759209752,0.759209752,8.94328022,6.053320408,0-10,2,upland,maize,mixture,,-0.25328436,0.016451654,0.253284364,0.008232038,-0.23025851,0.013711285,-0.013880654,0.029987489,,,,,,,,
44,8,Kim,2022,Frontiers in Microbiology,11,USA,North America,-90.72722222,40.93055556,0.759209752,0.759209752,8.94328022,6.053320408,0-10,2,upland,maize,mixture,,0.161180957,0.016451654,1.888119809,0.008232042,0.207232659,0.013711285,-0.042303736,0.03013849,,,,,,,,
45,8,Kim,2022,Frontiers in Microbiology,11,USA,North America,-90.72722222,40.93055556,0.759209752,0.759209752,8.94328022,6.053320408,0-10,2,upland,maize,mixture,,0.437491168,0.016451654,1.680886559,0.008231482,0.391439466,0.013711285,0.046643265,0.030157981,,,,,,,,
