ID,number,author1,year,journal,region,climate.zone,texture,main.crop,Nrate (kg N/ha),CC.type,application,termination.time,response_variable,n_studies,n_comparisons,effect_size_type,ci_lower,effect_size,se,ci2_lower,effect_size2,se2,count,weighthing_method,statistical_model,quality_score,quality
1,1,Jian,2020,Soil & Tillage Research,global,,,,,,,,N2O,8,30,%,12.7536,40.5797,,0.120034721,0.340604402,0.112535551,positive,unweighted,meta-analytic model,12,low quality
2,1,Jian,2020,Soil & Tillage Research,global,,,,,,,,yield,114,1462,%,1.73913,4.05797,,0.017241802,0.039777962,0.011498041,positive,unweighted,meta-analytic model,12,low quality
3,2,Alvarez,2017,Soil & Tillage Research,pampas,semi-arid,,maize,,legume,,,yield,16,68,%,2.52747,7.03297,,0.024960577,0.067966732,0.021941916,positive,weighted by the inverse of the pooled variance,meta-analytic random effects model,15,high quality
4,2,Alvarez,2017,Soil & Tillage Research,pampas,semi-arid,,maize,,mixture,,,yield,6,14,%,-10.2198,-1.97802,,-0.107805725,-0.019978447,0.044809836,negative,weighted by the inverse of the pooled variance,meta-analytic random effects model,15,high quality
5,2,Alvarez,2017,Soil & Tillage Research,pampas,semi-arid,,maize,,non-legume,,,yield,12,48,%,-17.5824,-7.58242,,-0.19337118,-0.078852966,0.05842766,negative,weighted by the inverse of the pooled variance,meta-analytic random effects model,15,high quality
6,2,Alvarez,2017,Soil & Tillage Research,pampas,semi-arid,,soybean,,,,,yield,32,160,%,-4.17582,-2.63736,,-0.042655132,-0.026727622,0.008126281,negative,weighted by the inverse of the pooled variance,meta-analytic random effects model,15,high quality
7,3,Muhammad,2019,Soil & Tillage Research,global,,,,,overall,,,N2O,,480,lnRR,-2.52381,-1.42857,,-2.52381,-1.42857,0.558795918,negative,weighted by the inverse of the pooled variance,meta-analytic random effects model,14,low quality
18,4,Tonitto,2006,"Agriculture, Ecosystems and Environment",global,,,,,legume,,,yield,,415,%,-8.58696,-6.30435,,-0.089782048,-0.065118423,0.012583482,negative,unweighted,meta-analytic model,14,low quality
23,5,Wojciechowski,2023,"Agriculture, Ecosystems and Environment",global,,,maize,,overall,,,yield,212,3221,%,5,6.69811,,0.048790164,0.064833259,0.008185252,positive,weighted by the inverse of the pooled variance,meta-analytic random effects model,16,high quality
50,6,Shackelford,2019,Land Use Policy,California and the Mediterranean,semi-arid,,,,overall,,,yield,123,316,RR,0.97,1.02,,-0.030459207,0.019802627,0.025643793,neutral,weighted by the inverse of the pooled variance,meta-analytic random effects model,16,high quality
54,7,Wang,2021,Agricultural Water Management,global,,,,,overall,,,yield,,423,lnRR,-0.0148148,0.00555556,,-0.0148148,0.00555556,0.010393041,neutral,weighted by the inverse of the pooled variance,meta-analytic random effects model,16,high quality
70,8,Ma,2021,Field Crops Research,northern China,semi-arid,,wheat,,overall,,,yield,,316,%,0.243902,3.29268,,0.00243605,0.032396326,0.015285855,positive,weighted by replication,meta-analytic model,14,low quality
73,8,Ma,2021,Field Crops Research,northern China,semi-arid,,maize,,overall,,,yield,,161,%,7.31707,11.0366,,0.070617538,0.104689691,0.017383752,positive,weighted by replication,meta-analytic model,14,low quality
76,8,Ma,2021,Field Crops Research,northern China,semi-arid,,others,,overall,,,yield,,23,%,-5.2439,0.243902,,-0.053863964,0.00243605,0.028724497,neutral,weighted by replication,meta-analytic model,14,low quality
79,9,Fan,2021,Field Crops Research,China,,,others,,legume,,,yield,11,29,%,1.42857,8,,0.014184621,0.076961041,0.032028786,positive,unweighted,meta-analytic random effects model,15,high quality
80,9,Fan,2021,Field Crops Research,China,,,maize,,legume,,,yield,4,9,%,16,28,,0.148420005,0.246860078,0.050224527,positive,unweighted,meta-analytic random effects model,15,high quality
81,9,Fan,2021,Field Crops Research,China,,,rice,,legume,,,yield,21,123,%,12.8571,16.2857,,0.120952231,0.150879908,0.015269223,positive,unweighted,meta-analytic random effects model,15,high quality
